$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,3ee6304fa45e4bac03d2783d
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc
$UNIT,GNSSdeg,deg,m,m/s,m/s,m/s,m,m,m/s
$GNSS,2025-07-29T15:21:34.350Z,40.2678874,-111.6342664,1745.383,0.61,-18.49,9.22,0.507,0.755,0.19
$GNSS,2025-07-29T15:21:34.400Z,40.2678875,-111.6342764,1744.921,0.26,-17.23,9.1,0.507,0.756,0.18
$GNSS,2025-07-29T15:21:34.450Z,40.2678876,-111.6342863,1744.428,0.21,-16.74,9.73,0.507,0.757,0.19
$GNSS,2025-07-29T15:21:34.500Z,40.2678877,-111.6342964,1743.942,0.3,-17.07,9.98,0.507,0.757,0.19
$GNSS,2025-07-29T15:21:34.550Z,40.2678878,-111.634306,1743.446,0.17,-16.41,10.01,0.507,0.757,0.18
$GNSS,2025-07-29T15:21:34.600Z,40.2678877,-111.634315,1742.889,-0.31,-15.47,10.21,0.506,0.757,0.19
$GNSS,2025-07-29T15:21:34.650Z,40.2678874,-111.6343232,1742.35,-0.49,-14.25,10.6,0.506,0.758,0.2
$GNSS,2025-07-29T15:21:34.700Z,40.2678874,-111.634331,1741.776,-0.24,-13.32,11.24,0.506,0.758,0.2
$GNSS,2025-07-29T15:21:34.750Z,40.2678873,-111.6343383,1741.163,-0.14,-12.47,11.99,0.506,0.758,0.22
$GNSS,2025-07-29T15:21:34.800Z,40.2678874,-111.6343457,1740.487,0.11,-12.56,12.79,0.505,0.757,0.23
$GNSS,2025-07-29T15:21:34.850Z,40.2678876,-111.634353,1739.77,0.33,-12.56,13.44,0.504,0.757,0.23
$GNSS,2025-07-29T15:21:34.900Z,40.2678879,-111.6343601,1739.023,0.44,-12.29,14.11,0.504,0.756,0.24
$GNSS,2025-07-29T15:21:34.950Z,40.2678879,-111.6343674,1738.252,0.03,-12.43,14.52,0.503,0.756,0.25
$GNSS,2025-07-29T15:21:35.000Z,40.267888,-111.6343746,1737.457,0.06,-12.43,15.11,0.503,0.756,0.27
$GNSS,2025-07-29T15:21:35.050Z,40.2678882,-111.6343818,1736.64,0.3,-12.55,15.66,0.503,0.756,0.29
$GNSS,2025-07-29T15:21:35.100Z,40.2678884,-111.6343893,1735.805,0.33,-12.85,16,0.503,0.756,0.31
$GNSS,2025-07-29T15:21:35.150Z,40.2678887,-111.6343968,1735.048,0.6,-12.72,15.58,0.504,0.756,0.31
$GNSS,2025-07-29T15:21:35.200Z,40.2678889,-111.6344041,1734.31,0.22,-12.14,14.81,0.504,0.756,0.31
$GNSS,2025-07-29T15:21:35.250Z,40.2678889,-111.6344113,1733.604,-0.06,-11.98,14.2,0.505,0.757,0.32
$GNSS,2025-07-29T15:21:35.300Z,40.267889,-111.6344184,1732.926,0.14,-11.89,13.86,0.506,0.758,0.33
$GNSS,2025-07-29T15:21:35.350Z,40.2678892,-111.6344249,1732.242,0.33,-11.25,13.7,0.505,0.759,0.32
$GNSS,2025-07-29T15:21:35.400Z,40.2678893,-111.6344311,1731.603,0.29,-10.62,13.34,0.505,0.759,0.35
$GNSS,2025-07-29T15:21:35.450Z,40.2678894,-111.6344369,1730.964,0.19,-9.9,13.03,0.505,0.76,0.32
$GNSS,2025-07-29T15:21:35.500Z,40.2678893,-111.6344422,1730.436,0.05,-9.17,12.27,0.506,0.761,0.33
$GNSS,2025-07-29T15:21:35.550Z,40.2678892,-111.6344474,1729.977,-0.12,-8.85,11.41,0.506,0.762,0.36
$GNSS,2025-07-29T15:21:35.600Z,40.2678889,-111.6344526,1729.616,-0.27,-8.72,10.23,0.505,0.761,0.42
$GNSS,2025-07-29T15:21:35.650Z,40.2678887,-111.6344573,1729.18,-0.3,-8.32,9.74,0.505,0.76,0.41
$GNSS,2025-07-29T15:21:35.700Z,40.2678886,-111.6344621,1728.693,-0.36,-8.27,9.61,0.504,0.759,0.39
$GNSS,2025-07-29T15:21:35.750Z,40.2678887,-111.6344668,1728.227,0.14,-8.09,9.23,0.503,0.757,0.37
$GNSS,2025-07-29T15:21:35.800Z,40.2678891,-111.6344712,1727.824,0.73,-7.81,8.59,0.501,0.754,0.33
$GNSS,2025-07-29T15:21:35.850Z,40.2678894,-111.634475,1727.477,1.04,-7.07,7.96,0.498,0.75,0.3
$GNSS,2025-07-29T15:21:35.900Z,40.2678901,-111.6344791,1727.069,1.56,-7.06,7.74,0.495,0.746,0.35
$GNSS,2025-07-29T15:21:35.950Z,40.267891,-111.634483,1726.696,1.92,-6.76,7.31,0.492,0.743,0.39
$GNSS,2025-07-29T15:21:36.000Z,40.2678918,-111.6344862,1726.287,1.83,-5.75,7.45,0.489,0.74,0.38
$GNSS,2025-07-29T15:21:36.050Z,40.2678925,-111.6344892,1725.95,1.59,-5.56,7.14,0.485,0.737,0.33
$GNSS,2025-07-29T15:21:36.100Z,40.2678932,-111.6344924,1725.598,1.61,-5.72,6.83,0.482,0.734,0.32
$GNSS,2025-07-29T15:21:36.150Z,40.2678936,-111.6344951,1725.288,1.24,-5.19,6.4,0.478,0.731,0.32
$GNSS,2025-07-29T15:21:36.200Z,40.2678941,-111.634498,1724.983,1.14,-5.08,6.19,0.476,0.729,0.32
$GNSS,2025-07-29T15:21:36.250Z,40.2678946,-111.6345007,1724.665,1.19,-4.79,6.13,0.474,0.726,0.32
$GNSS,2025-07-29T15:21:36.300Z,40.2678952,-111.6345037,1724.326,1.41,-5.05,6.12,0.472,0.725,0.31
$GNSS,2025-07-29T15:21:36.350Z,40.2678959,-111.6345067,1723.992,1.37,-5.02,6.11,0.47,0.723,0.3
$GNSS,2025-07-29T15:21:36.400Z,40.2678966,-111.6345096,1723.66,1.44,-4.99,6.2,0.469,0.721,0.29
$GNSS,2025-07-29T15:21:36.450Z,40.2678972,-111.6345126,1723.355,1.49,-4.94,6.14,0.467,0.72,0.28
$GNSS,2025-07-29T15:21:36.500Z,40.267898,-111.6345155,1723.033,1.56,-4.79,6.21,0.465,0.719,0.27
$GNSS,2025-07-29T15:21:36.550Z,40.2678988,-111.6345184,1722.713,1.78,-4.79,6.25,0.464,0.718,0.26
$GNSS,2025-07-29T15:21:36.600Z,40.2678998,-111.6345213,1722.387,2.1,-4.91,6.36,0.463,0.717,0.27
$GNSS,2025-07-29T15:21:36.650Z,40.2679009,-111.6345243,1722.063,2.34,-5.03,6.32,0.461,0.716,0.26
$GNSS,2025-07-29T15:21:36.700Z,40.2679019,-111.6345272,1721.732,2.38,-5.02,6.35,0.46,0.715,0.26
$GNSS,2025-07-29T15:21:36.750Z,40.2679031,-111.6345303,1721.385,2.52,-5.14,6.5,0.459,0.714,0.27
$GNSS,2025-07-29T15:21:36.800Z,40.2679044,-111.6345335,1721.023,2.69,-5.42,6.71,0.458,0.714,0.26
$GNSS,2025-07-29T15:21:36.850Z,40.2679057,-111.6345368,1720.661,2.99,-5.54,6.85,0.457,0.714,0.25
$GNSS,2025-07-29T15:21:36.900Z,40.2679073,-111.6345399,1720.28,3.25,-5.42,6.88,0.456,0.711,0.24
$GNSS,2025-07-29T15:21:36.950Z,40.2679089,-111.6345429,1719.905,3.49,-5.18,6.9,0.454,0.708,0.23
$GNSS,2025-07-29T15:21:37.000Z,40.2679106,-111.6345457,1719.513,3.66,-5.01,6.91,0.453,0.705,0.22
$GNSS,2025-07-29T15:21:37.050Z,40.2679123,-111.6345485,1719.157,3.76,-4.83,6.95,0.452,0.702,0.22
$GNSS,2025-07-29T15:21:37.100Z,40.2679141,-111.6345512,1718.804,4.01,-4.7,6.98,0.45,0.699,0.22
$GNSS,2025-07-29T15:21:37.150Z,40.2679161,-111.6345539,1718.445,4.26,-4.66,7.07,0.449,0.696,0.22
$GNSS,2025-07-29T15:21:37.200Z,40.2679181,-111.6345566,1718.084,4.53,-4.68,7.12,0.448,0.693,0.2
$GNSS,2025-07-29T15:21:37.250Z,40.2679203,-111.6345592,1717.718,4.77,-4.64,7.2,0.446,0.69,0.22
$GNSS,2025-07-29T15:21:37.300Z,40.2679225,-111.6345619,1717.359,4.88,-4.65,7.22,0.445,0.69,0.23
$GNSS,2025-07-29T15:21:37.350Z,40.2679247,-111.6345646,1716.993,4.86,-4.7,7.25,0.444,0.69,0.23
$GNSS,2025-07-29T15:21:37.400Z,40.2679269,-111.6345674,1716.627,4.96,-4.78,7.15,0.444,0.687,0.22
$GNSS,2025-07-29T15:21:37.450Z,40.2679292,-111.6345702,1716.253,5.02,-4.79,7.14,0.443,0.684,0.22
$GNSS,2025-07-29T15:21:37.500Z,40.2679316,-111.6345731,1715.897,5.34,-4.77,7.25,0.441,0.682,0.21
$GNSS,2025-07-29T15:21:37.550Z,40.267934,-111.6345759,1715.554,5.54,-4.75,7.28,0.44,0.679,0.21
$GNSS,2025-07-29T15:21:37.600Z,40.2679365,-111.6345789,1715.202,5.74,-4.85,7.29,0.439,0.677,0.21
$GNSS,2025-07-29T15:21:37.650Z,40.2679392,-111.6345817,1714.817,5.84,-4.93,7.28,0.438,0.675,0.21
$GNSS,2025-07-29T15:21:37.700Z,40.2679418,-111.6345846,1714.46,5.96,-5,7.24,0.437,0.673,0.21
$GNSS,2025-07-29T15:21:37.750Z,40.2679446,-111.6345876,1714.103,6.1,-5,7.25,0.436,0.67,0.2
$GNSS,2025-07-29T15:21:37.800Z,40.2679473,-111.6345906,1713.768,6.22,-4.95,7.23,0.435,0.668,0.2
$GNSS,2025-07-29T15:21:37.850Z,40.2679501,-111.6345936,1713.438,6.32,-4.99,7.12,0.434,0.666,0.21
$GNSS,2025-07-29T15:21:37.900Z,40.267953,-111.6345967,1713.086,6.57,-5,7.21,0.432,0.663,0.21
$GNSS,2025-07-29T15:21:37.950Z,40.2679561,-111.6345998,1712.706,6.81,-5.06,7.19,0.431,0.66,0.21
$GNSS,2025-07-29T15:21:38.000Z,40.2679593,-111.6346029,1712.346,7.12,-5.14,7.19,0.43,0.658,0.2
$GNSS,2025-07-29T15:21:38.050Z,40.2679626,-111.634606,1711.998,7.21,-5.13,7.1,0.429,0.656,0.21
$GNSS,2025-07-29T15:21:38.100Z,40.2679658,-111.6346089,1711.648,7.27,-5.09,7.06,0.428,0.655,0.21
$GNSS,2025-07-29T15:21:38.150Z,40.2679692,-111.6346119,1711.298,7.34,-4.98,6.84,0.426,0.652,0.22
$GNSS,2025-07-29T15:21:38.200Z,40.2679726,-111.6346148,1710.958,7.48,-5.02,6.74,0.425,0.651,0.22
$GNSS,2025-07-29T15:21:38.250Z,40.2679761,-111.6346178,1710.636,7.81,-5.09,6.72,0.424,0.65,0.22
$GNSS,2025-07-29T15:21:38.300Z,40.2679796,-111.6346209,1710.303,7.77,-5.26,6.68,0.423,0.649,0.23
$GNSS,2025-07-29T15:21:38.350Z,40.2679831,-111.6346239,1709.968,7.78,-5.22,6.54,0.423,0.648,0.24
$GNSS,2025-07-29T15:21:38.400Z,40.2679866,-111.634627,1709.647,7.7,-5.28,6.32,0.422,0.647,0.25
$GNSS,2025-07-29T15:21:38.450Z,40.2679902,-111.63463,1709.338,7.91,-5.39,6.24,0.421,0.646,0.24
$GNSS,2025-07-29T15:21:38.500Z,40.2679938,-111.6346331,1709.032,7.88,-5.38,6.2,0.42,0.645,0.24
$GNSS,2025-07-29T15:21:38.550Z,40.2679973,-111.6346362,1708.749,7.94,-5.48,6.12,0.419,0.644,0.24
$GNSS,2025-07-29T15:21:38.600Z,40.2680009,-111.6346394,1708.477,7.89,-5.48,5.93,0.417,0.642,0.23
$GNSS,2025-07-29T15:21:38.650Z,40.2680044,-111.6346427,1708.205,7.83,-5.5,5.69,0.416,0.641,0.23
$GNSS,2025-07-29T15:21:38.700Z,40.268008,-111.634646,1707.935,7.95,-5.61,5.62,0.415,0.641,0.24
$GNSS,2025-07-29T15:21:38.800Z,40.2680152,-111.6346531,1707.382,7.94,-6.09,5.64,0.415,0.641,0.26
$GNSS,2025-07-29T15:21:38.850Z,40.2680187,-111.6346566,1707.118,8.06,-5.97,5.52,0.413,0.64,0.25
$GNSS,2025-07-29T15:21:38.900Z,40.2680224,-111.6346601,1706.856,8.09,-5.96,5.33,0.412,0.639,0.25
$GNSS,2025-07-29T15:21:38.950Z,40.2680261,-111.6346639,1706.578,8.07,-6.19,5.24,0.411,0.638,0.24
$GNSS,2025-07-29T15:21:39.000Z,40.2680297,-111.6346674,1706.36,8.17,-6.13,5.01,0.41,0.637,0.25
$GNSS,2025-07-29T15:21:39.050Z,40.2680333,-111.6346711,1706.124,8.1,-6.26,4.91,0.409,0.636,0.25
$GNSS,2025-07-29T15:21:39.100Z,40.268037,-111.6346748,1705.883,8.24,-6.23,4.79,0.408,0.636,0.25
$GNSS,2025-07-29T15:21:39.150Z,40.2680408,-111.6346785,1705.657,8.52,-6.21,4.58,0.407,0.635,0.23
$GNSS,2025-07-29T15:21:39.200Z,40.2680447,-111.6346822,1705.434,8.59,-6.32,4.43,0.407,0.635,0.2
$GNSS,2025-07-29T15:21:39.250Z,40.2680485,-111.634686,1705.185,8.3,-6.41,4.46,0.406,0.635,0.2
$GNSS,2025-07-29T15:21:39.300Z,40.268052,-111.6346898,1704.978,8.04,-6.42,4.37,0.404,0.632,0.19
$GNSS,2025-07-29T15:21:39.350Z,40.2680556,-111.6346935,1704.764,7.94,-6.37,4.37,0.404,0.631,0.19
$GNSS,2025-07-29T15:21:39.400Z,40.2680591,-111.6346971,1704.549,7.9,-6.35,4.36,0.403,0.629,0.19
$GNSS,2025-07-29T15:21:39.450Z,40.2680628,-111.6347008,1704.331,8.05,-6.51,4.31,0.403,0.627,0.18
$GNSS,2025-07-29T15:21:39.500Z,40.2680664,-111.6347046,1704.127,7.96,-6.54,4.14,0.402,0.625,0.17
$GNSS,2025-07-29T15:21:39.550Z,40.2680699,-111.6347083,1703.935,7.83,-6.45,4,0.401,0.623,0.17
$GNSS,2025-07-29T15:21:39.600Z,40.2680733,-111.634712,1703.745,7.68,-6.37,3.98,0.4,0.622,0.17
$GNSS,2025-07-29T15:21:39.650Z,40.2680766,-111.6347157,1703.561,7.49,-6.41,3.89,0.4,0.62,0.17
$GNSS,2025-07-29T15:21:39.700Z,40.2680799,-111.6347195,1703.394,7.44,-6.41,3.84,0.399,0.619,0.18
$GNSS,2025-07-29T15:21:39.750Z,40.2680831,-111.6347232,1703.254,7.52,-6.29,3.78,0.399,0.617,0.18
$GNSS,2025-07-29T15:21:39.800Z,40.2680862,-111.634727,1703.127,7.36,-6.35,3.7,0.398,0.616,0.18
$GNSS,2025-07-29T15:21:39.850Z,40.2680894,-111.6347308,1702.965,7.28,-6.49,3.66,0.398,0.614,0.18
$GNSS,2025-07-29T15:21:39.900Z,40.2680925,-111.6347347,1702.808,7.12,-6.57,3.62,0.397,0.613,0.17
$GNSS,2025-07-29T15:21:39.950Z,40.2680957,-111.6347387,1702.655,7.1,-6.58,3.6,0.397,0.612,0.17
$GNSS,2025-07-29T15:21:40.000Z,40.2680988,-111.6347426,1702.488,7.07,-6.6,3.56,0.397,0.612,0.18
$GNSS,2025-07-29T15:21:40.050Z,40.2681019,-111.6347464,1702.316,6.97,-6.52,3.55,0.396,0.612,0.18
$GNSS,2025-07-29T15:21:40.100Z,40.2681049,-111.6347504,1702.154,7,-6.62,3.52,0.396,0.611,0.17
$GNSS,2025-07-29T15:21:40.150Z,40.2681079,-111.6347544,1701.994,6.81,-6.77,3.41,0.395,0.61,0.17
$GNSS,2025-07-29T15:21:40.200Z,40.2681109,-111.6347585,1701.849,6.78,-6.79,3.44,0.395,0.609,0.18
$GNSS,2025-07-29T15:21:40.250Z,40.2681138,-111.6347625,1701.714,6.85,-6.65,3.49,0.394,0.608,0.18
$GNSS,2025-07-29T15:21:40.300Z,40.2681167,-111.6347665,1701.573,6.69,-6.59,3.44,0.393,0.607,0.18
$GNSS,2025-07-29T15:21:40.350Z,40.2681195,-111.6347705,1701.433,6.52,-6.64,3.45,0.393,0.606,0.18
$GNSS,2025-07-29T15:21:40.400Z,40.2681223,-111.6347746,1701.27,6.32,-6.88,3.45,0.392,0.605,0.18
$GNSS,2025-07-29T15:21:40.450Z,40.268125,-111.6347788,1701.092,6.08,-6.95,3.47,0.392,0.605,0.19
$GNSS,2025-07-29T15:21:40.500Z,40.2681276,-111.6347829,1700.932,6,-6.94,3.41,0.391,0.605,0.19
$GNSS,2025-07-29T15:21:40.550Z,40.2681302,-111.6347869,1700.786,5.83,-6.77,3.23,0.39,0.605,0.19
$GNSS,2025-07-29T15:21:40.600Z,40.2681328,-111.6347908,1700.635,5.76,-6.62,3.17,0.389,0.605,0.19
$GNSS,2025-07-29T15:21:40.650Z,40.2681353,-111.6347946,1700.49,5.66,-6.46,3.08,0.389,0.605,0.19
$GNSS,2025-07-29T15:21:40.700Z,40.2681378,-111.6347984,1700.358,5.78,-6.35,2.96,0.388,0.605,0.18
$GNSS,2025-07-29T15:21:40.750Z,40.2681404,-111.6348023,1700.206,5.84,-6.44,2.92,0.387,0.605,0.18
$GNSS,2025-07-29T15:21:40.800Z,40.268143,-111.6348063,1700.048,5.75,-6.8,3.05,0.386,0.605,0.18
$GNSS,2025-07-29T15:21:40.850Z,40.2681455,-111.6348106,1699.887,5.65,-7.17,3.38,0.385,0.605,0.18
$GNSS,2025-07-29T15:21:40.900Z,40.268148,-111.6348148,1699.73,5.71,-7.38,3.43,0.385,0.605,0.18
$GNSS,2025-07-29T15:21:40.950Z,40.2681505,-111.634819,1699.575,5.66,-7.31,3.34,0.384,0.605,0.18
$GNSS,2025-07-29T15:21:41.000Z,40.268153,-111.6348232,1699.427,5.58,-7.28,3.31,0.383,0.605,0.19
$GNSS,2025-07-29T15:21:41.050Z,40.2681554,-111.6348274,1699.275,5.59,-7.22,3.23,0.383,0.605,0.18
$GNSS,2025-07-29T15:21:41.100Z,40.2681578,-111.6348316,1699.099,5.34,-7.25,3.31,0.382,0.605,0.18
$GNSS,2025-07-29T15:21:41.150Z,40.2681602,-111.6348358,1698.936,5.26,-7.22,3.31,0.381,0.604,0.19
$GNSS,2025-07-29T15:21:41.200Z,40.2681625,-111.6348399,1698.781,5.26,-7.16,3.38,0.381,0.604,0.19
$GNSS,2025-07-29T15:21:41.250Z,40.2681648,-111.634844,1698.639,5.27,-7.08,3.32,0.38,0.604,0.19
$GNSS,2025-07-29T15:21:41.300Z,40.2681671,-111.6348481,1698.469,5.16,-7.08,3.45,0.38,0.604,0.19
$GNSS,2025-07-29T15:21:41.350Z,40.2681694,-111.634852,1698.293,5.11,-6.88,3.51,0.379,0.604,0.19
$GNSS,2025-07-29T15:21:41.400Z,40.2681716,-111.6348559,1698.132,5.06,-6.72,3.41,0.379,0.604,0.19
$GNSS,2025-07-29T15:21:41.450Z,40.2681738,-111.6348599,1697.973,5,-6.82,3.49,0.378,0.604,0.19
$GNSS,2025-07-29T15:21:41.500Z,40.268176,-111.6348638,1697.806,4.92,-6.84,3.51,0.378,0.604,0.19
$GNSS,2025-07-29T15:21:41.550Z,40.2681781,-111.6348678,1697.633,4.82,-6.81,3.55,0.378,0.604,0.19
$GNSS,2025-07-29T15:21:41.600Z,40.2681803,-111.6348717,1697.478,4.91,-6.77,3.41,0.377,0.604,0.19
$GNSS,2025-07-29T15:21:41.650Z,40.2681825,-111.6348756,1697.314,4.84,-6.71,3.38,0.377,0.603,0.19
$GNSS,2025-07-29T15:21:41.700Z,40.2681847,-111.6348795,1697.147,4.96,-6.75,3.36,0.377,0.603,0.19
$GNSS,2025-07-29T15:21:41.750Z,40.2681869,-111.6348834,1696.999,5.03,-6.68,3.25,0.376,0.603,0.19
$GNSS,2025-07-29T15:21:41.800Z,40.2681891,-111.6348874,1696.842,4.96,-6.82,3.31,0.376,0.603,0.18
$GNSS,2025-07-29T15:21:41.850Z,40.2681912,-111.6348914,1696.669,4.72,-6.88,3.36,0.376,0.604,0.18
$GNSS,2025-07-29T15:21:41.900Z,40.2681933,-111.6348955,1696.496,4.7,-6.87,3.5,0.375,0.604,0.18
$GNSS,2025-07-29T15:21:41.950Z,40.2681954,-111.6348996,1696.31,4.67,-6.98,3.63,0.375,0.604,0.18
$GNSS,2025-07-29T15:21:42.000Z,40.2681975,-111.6349035,1696.142,4.83,-6.67,3.63,0.374,0.604,0.18
$GNSS,2025-07-29T15:21:42.050Z,40.2681997,-111.6349074,1695.96,4.79,-6.61,3.64,0.374,0.604,0.18
$GNSS,2025-07-29T15:21:42.100Z,40.2682018,-111.6349115,1695.754,4.67,-6.89,3.7,0.373,0.605,0.18
$GNSS,2025-07-29T15:21:42.150Z,40.2682037,-111.6349157,1695.577,4.52,-7.07,3.7,0.373,0.605,0.18
$GNSS,2025-07-29T15:21:42.200Z,40.2682057,-111.6349199,1695.39,4.44,-7.1,3.75,0.372,0.605,0.18
$GNSS,2025-07-29T15:21:42.250Z,40.2682076,-111.6349241,1695.206,4.4,-7.08,3.82,0.372,0.606,0.18
$GNSS,2025-07-29T15:21:42.300Z,40.2682095,-111.6349283,1695.016,4.25,-7.16,3.88,0.371,0.606,0.18
$GNSS,2025-07-29T15:21:42.350Z,40.2682113,-111.6349326,1694.809,4.11,-7.35,3.96,0.371,0.606,0.18
$GNSS,2025-07-29T15:21:42.400Z,40.2682132,-111.634937,1694.614,4.17,-7.36,3.86,0.371,0.606,0.18
$GNSS,2025-07-29T15:21:42.450Z,40.268215,-111.6349413,1694.408,4.11,-7.39,3.89,0.37,0.607,0.18
$GNSS,2025-07-29T15:21:42.500Z,40.2682169,-111.6349456,1694.218,4.19,-7.31,3.89,0.37,0.607,0.17
$GNSS,2025-07-29T15:21:42.550Z,40.2682187,-111.63495,1694.029,4.21,-7.33,3.94,0.369,0.607,0.18
$GNSS,2025-07-29T15:21:42.600Z,40.2682206,-111.6349544,1693.834,4.21,-7.43,3.93,0.369,0.607,0.18
$GNSS,2025-07-29T15:21:42.650Z,40.2682225,-111.6349588,1693.619,4.12,-7.48,4,0.369,0.608,0.18
$GNSS,2025-07-29T15:21:42.700Z,40.2682243,-111.6349631,1693.403,4.14,-7.36,4.17,0.369,0.608,0.18
$GNSS,2025-07-29T15:21:42.750Z,40.2682262,-111.6349676,1693.199,4.09,-7.43,4.28,0.369,0.608,0.19
$GNSS,2025-07-29T15:21:42.800Z,40.2682279,-111.6349719,1692.977,3.86,-7.45,4.25,0.369,0.608,0.19
$GNSS,2025-07-29T15:21:42.850Z,40.2682296,-111.6349763,1692.783,3.96,-7.27,4.02,0.368,0.608,0.19
$GNSS,2025-07-29T15:21:42.900Z,40.2682314,-111.6349805,1692.585,3.9,-7.25,4,0.368,0.608,0.18
$GNSS,2025-07-29T15:21:42.950Z,40.2682331,-111.6349848,1692.388,3.78,-7.14,4.04,0.368,0.608,0.19
$GNSS,2025-07-29T15:21:43.000Z,40.2682347,-111.634989,1692.159,3.53,-7.19,4.15,0.368,0.608,0.18
$GNSS,2025-07-29T15:21:43.050Z,40.2682363,-111.6349932,1691.967,3.73,-7.14,4.17,0.367,0.608,0.19
$GNSS,2025-07-29T15:21:43.100Z,40.2682379,-111.6349975,1691.751,3.54,-7.27,4.17,0.367,0.608,0.19
$GNSS,2025-07-29T15:21:43.150Z,40.2682396,-111.6350017,1691.539,3.74,-7.22,4.22,0.367,0.608,0.19
$GNSS,2025-07-29T15:21:43.200Z,40.2682413,-111.635006,1691.316,3.68,-7.22,4.33,0.367,0.608,0.19
$GNSS,2025-07-29T15:21:43.250Z,40.268243,-111.6350103,1691.113,3.82,-7.26,4.25,0.367,0.608,0.19
$GNSS,2025-07-29T15:21:43.300Z,40.2682447,-111.6350146,1690.897,3.7,-7.36,4.21,0.367,0.608,0.19
$GNSS,2025-07-29T15:21:43.350Z,40.2682464,-111.6350188,1690.689,3.75,-7.2,4.02,0.367,0.609,0.18
$GNSS,2025-07-29T15:21:43.400Z,40.268248,-111.6350228,1690.479,3.71,-6.95,3.99,0.366,0.609,0.17
$GNSS,2025-07-29T15:21:43.450Z,40.2682496,-111.6350268,1690.25,3.53,-6.92,4.25,0.365,0.606,0.18
$GNSS,2025-07-29T15:21:43.500Z,40.2682511,-111.6350309,1690.041,3.51,-6.88,4.43,0.364,0.604,0.18
$GNSS,2025-07-29T15:21:43.550Z,40.2682526,-111.6350349,1689.798,3.49,-6.8,4.66,0.363,0.601,0.19
$GNSS,2025-07-29T15:21:43.600Z,40.2682542,-111.6350388,1689.54,3.52,-6.76,5.13,0.362,0.601,0.21
$GNSS,2025-07-29T15:21:43.650Z,40.2682558,-111.6350432,1689.247,3.57,-7.4,5.5,0.362,0.6,0.22
$GNSS,2025-07-29T15:21:43.700Z,40.2682573,-111.6350476,1688.96,3.61,-7.5,5.55,0.361,0.599,0.23
$GNSS,2025-07-29T15:21:43.750Z,40.2682589,-111.6350524,1688.732,3.48,-7.79,5.06,0.361,0.599,0.24
$GNSS,2025-07-29T15:21:43.800Z,40.2682603,-111.6350572,1688.539,3.32,-7.84,4.6,0.362,0.599,0.24
$GNSS,2025-07-29T15:21:43.850Z,40.2682618,-111.6350618,1688.32,3.37,-7.85,4.58,0.363,0.599,0.25
$GNSS,2025-07-29T15:21:43.900Z,40.2682633,-111.6350666,1688.095,3.31,-7.92,4.6,0.363,0.599,0.25
$GNSS,2025-07-29T15:21:43.950Z,40.2682646,-111.6350712,1687.885,3.16,-7.91,4.54,0.364,0.6,0.25
$GNSS,2025-07-29T15:21:44.000Z,40.2682661,-111.6350758,1687.665,3.4,-7.87,4.54,0.365,0.6,0.25
$GNSS,2025-07-29T15:21:44.050Z,40.2682678,-111.6350806,1687.453,3.69,-7.97,4.33,0.366,0.601,0.26
$GNSS,2025-07-29T15:21:44.100Z,40.2682693,-111.6350853,1687.241,3.35,-8.11,4.38,0.366,0.602,0.25
$GNSS,2025-07-29T15:21:44.150Z,40.2682706,-111.6350901,1687.061,3.21,-8.18,4.16,0.367,0.602,0.25
$GNSS,2025-07-29T15:21:44.200Z,40.2682719,-111.635095,1686.871,3.08,-8.38,4.07,0.368,0.603,0.24
$GNSS,2025-07-29T15:21:44.250Z,40.2682732,-111.6351001,1686.694,3.05,-8.55,3.91,0.368,0.603,0.23
$GNSS,2025-07-29T15:21:44.300Z,40.2682746,-111.6351052,1686.504,3.19,-8.69,3.88,0.368,0.602,0.2
$GNSS,2025-07-29T15:21:44.350Z,40.268276,-111.6351102,1686.351,3.29,-8.68,3.8,0.367,0.602,0.2
$GNSS,2025-07-29T15:21:44.400Z,40.2682774,-111.6351156,1686.146,3.21,-9.04,3.81,0.367,0.601,0.22
$GNSS,2025-07-29T15:21:44.450Z,40.2682789,-111.635121,1685.946,3.31,-9.08,3.79,0.367,0.601,0.23
$GNSS,2025-07-29T15:21:44.500Z,40.2682803,-111.6351264,1685.753,3.32,-9.24,3.95,0.367,0.601,0.24
$GNSS,2025-07-29T15:21:44.550Z,40.2682817,-111.6351319,1685.552,3.23,-9.43,4.11,0.367,0.602,0.24
$GNSS,2025-07-29T15:21:44.600Z,40.2682831,-111.6351376,1685.335,3.18,-9.64,4.25,0.367,0.602,0.23
$GNSS,2025-07-29T15:21:44.650Z,40.2682846,-111.6351432,1685.096,3.31,-9.49,4.42,0.367,0.602,0.21
$GNSS,2025-07-29T15:21:44.700Z,40.2682861,-111.6351486,1684.861,3.25,-9.09,4.5,0.366,0.602,0.22
$GNSS,2025-07-29T15:21:44.750Z,40.2682876,-111.635154,1684.574,3.14,-8.94,4.74,0.366,0.602,0.21
$GNSS,2025-07-29T15:21:44.800Z,40.268289,-111.6351592,1684.334,3.1,-8.75,4.67,0.365,0.602,0.2
$GNSS,2025-07-29T15:21:44.850Z,40.2682904,-111.6351643,1684.124,3.29,-8.79,4.63,0.365,0.601,0.21
